Trust Code,Location,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
REM,"(53.4657,  -2.9318)",23,21,37,30,31,25,33,31,24,34,21,31,26,24,20,26,30,23,27,24,32,24,24,26,26,29,33,37,27,28,24,24,15,20,35,24,27,26,27,23,26,33,25,35,22,23,21,18,22,24,16,34,34,26,33,25,30,24,18,26,23,23,19,31,28,26,25,26,21,24,22,25,26,30,35,35,27,33,30,25,28,30,34,25,32,31,30,35,32,30,32,27,34,37,25
RCF,"(53.8977, -1.9642)",9,14,13,9,12,11,11,5,14,11,7,3,9,5,6,11,9,11,15,9,3,12,7,12,8,5,12,9,6,19,15,9,11,11,8,13,15,5,11,10,5,8,9,16,13,17,10,9,12,12,15,10,7,14,13,7,13,11,13,13,12,16,13,14,12,5,16,12,8,17,10,20,24,12,14,10,17,11,18,13,11,11,16,13,14,12,23,19,17,16,16,16,9,9,12
RBS,"(53.4205, -2.8968)",2,0,3,0,1,1,1,4,2,4,1,0,2,4,2,2,1,3,0,1,2,2,1,2,1,3,0,2,6,1,3,3,2,1,1,1,3,1,3,5,4,3,2,0,1,0,0,2,2,4,2,0,3,1,0,1,0,2,6,5,0,1,2,2,4,1,1,2,1,4,3,1,2,2,1,1,1,2,2,2,5,0,0,2,2,2,3,1,2,0,1,2,1,1,3
RTK,"(51.4441, -0.4730)",13,23,16,23,18,20,14,15,13,11,20,19,20,29,17,18,15,16,17,14,16,15,15,13,13,26,15,16,20,23,12,20,21,19,18,16,23,25,18,22,20,22,15,16,26,15,14,21,23,19,26,14,26,26,28,23,21,17,10,17,16,21,28,28,28,16,28,30,24,15,15,13,14,17,26,18,22,22,17,14,29,20,28,21,18,24,18,30,18,20,15,21,18,21,21
RF4,"(51.5803, 0.1121)",38,37,35,47,34,33,33,28,33,29,35,33,35,29,33,34,52,39,34,30,38,44,26,42,33,29,54,41,45,35,32,45,44,38,32,38,41,39,39,43,42,38,51,46,44,39,37,43,50,41,51,38,46,48,41,26,38,31,32,40,33,42,43,39,40,40,45,42,34,45,44,42,29,50,40,50,37,32,37,48,31,37,26,29,31,36,46,49,35,37,46,32,37,46,37
RVL,"(51.6665, -0.1038)",30,23,28,21,19,29,27,20,17,22,22,16,27,29,35,42,28,19,27,19,21,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFF,"(53.5579, -1.4995)_",8,6,6,9,16,19,7,8,11,17,13,10,6,10,8,16,14,13,17,8,17,10,10,18,11,15,13,20,15,17,9,15,17,24,14,7,14,15,20,17,19,19,17,11,15,8,18,20,16,16,15,17,26,17,21,14,18,16,14,16,12,11,15,17,13,17,20,16,16,13,17,14,18,9,22,23,15,16,21,16,6,16,17,13,12,18,19,11,17,9,13,20,15,11,7
R1H,"(51.5182, -0.0585)",44,46,46,52,48,49,48,57,46,61,46,52,59,57,48,58,70,56,52,47,59,61,40,57,39,56,40,65,61,58,53,46,43,56,48,60,55,39,48,61,61,53,56,56,54,47,43,59,61,60,74,57,73,62,62,56,56,52,65,73,54,69,55,56,64,56,52,53,66,47,45,68,47,62,62,56,62,59,53,62,49,51,51,52,70,58,65,60,85,59,62,77,55,58,57
RDD,"(51.6235, 0.3164)",12,11,14,28,21,15,11,20,14,10,3,16,26,14,14,18,23,13,21,17,15,16,20,22,15,15,16,18,21,14,18,25,22,12,23,16,14,28,19,20,23,19,20,20,20,18,19,17,17,17,17,23,19,24,25,29,21,11,17,21,18,22,19,16,23,33,30,23,25,13,21,22,22,22,22,33,29,26,19,16,27,13,26,27,24,24,25,33,24,27,26,26,28,20,18
RC1,"(52.1286, -0.4712)",13,7,13,12,10,6,20,11,12,8,9,7,8,7,12,7,20,14,15,6,9,16,9,16,11,9,11,12,16,19,14,10,14,11,6,13,11,9,17,7,10,12,15,10,9,8,8,7,11,7,10,9,18,11,13,16,16,13,12,16,12,12,12,13,15,11,18,11,14,13,17,18,12,10,11,17,22,20,6,11,11,6,14,10,17,12,12,14,17,7,9,17,14,14,12
