lat,lon,text
51.488,-3.187,cardiff
53.813,-1.772,bradford
52.794,-2.663,shawbury
55.181,-6.153,ballypatrick
51.006,-2.641,yeovilton
52.833,-1.25,suttonbonington
50.218,-5.327,camborne
50.779,-1.835,hurn
53.252,-4.535,valley
54.352,-6.649,armagh
52.245,0.102,cambridge
51.761,-1.262,oxford
52.483,1.727,lowestoft
54.481,-0.624,whitby
53.381,-1.49,sheffield
53.175,-0.522,waddington
51.911,-2.584,rossonwye
50.762,0.285,eastbourne
52.139,-4.57,aberporth
51.479,-0.449,heathrow
51.089,-4.147,chivenor
54.768,-1.585,durham
54.67,-2.786,newtonrigg
51.346,1.337,manston
