,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Trust Code,REM,RCF,RBS,RTK,RF4,RVL,RFF,R1H,RDD,RC1,RQ3,RLU,RXL,RMC,RAE,RXH,RXQ,RJF,RWY,RGT,RW3,RQM,RFS,RLN,REN,RDE,RJR,RXP,RJ6,RN7,RTG,RP5,RBD,RC3,RWH,RJN,RVV,RXR,RXC,RVR,RDU,RR7,RLT,RTE,RP4,RN3,RJ1,RN5,RCD,RR1,RD7,RQQ,RQX,RWA,RYJ,RGQ,R1F,RGP,RNQ,RJZ,RAX,RXN,RR8,RJ2,RBQ,REP,RC9,RWF,RPA,RBT,RQ8,RJD,RXF,RD8,RP6,RM1,RVJ,RNL,RAP,RVW,RV8,RNS,RBZ,RJL,RTF,RX1,RTH,RGM,RW6,RGN,RK9,RD3,RHU,RQW,RPC,RHW,RT3,REF,RH8,RAL,RQ6,RBB,RAN,RA2,RD1,RL4,RM3,RNZ,RXK,RCU,RHQ,RK5,RXW,RA9,RTR,RE9,RJC,RAJ,RVY,RBN,RJ7,RWJ,RTP,RMP,RBA,RBV,RNA,RAS,RTD,RCX,RL1,RFR,RDZ,RPY,RRJ,RET,RKE,RWD,RRV,RRK,RJE,RM2,RHM,RA7,RKB,RWE,RTX,RBK,RWW,RWG,RFW,RGR,RYR,RA3,RBL,RWP,RRF,RLQ,RA4,RCB,R1K,R0A,R0B
2012-04-01,23,9,2,13,38,30,8,44,12,13,2,0,22,25,33,15,19,9,23,17,23,2,11,17,1,24,10,20,14,10,42,24,3,14,19,4,41,19,15,19,16,15,7,21,2,15,9,12,8,34,8,13,10,21,19,14,2,14,12,28,11,21,54,20,1,0,13,20,14,14,18,4,29,14,0,20,17,9,7,18,17,15,9,26,37,59,25,0,38,29,23,13,11,7,0,15,1,18,13,16,14,0,0,12,20,22,14,7,15,2,60,22,18,10,22,8,7,17,19,23,15,11,8,7,16,3,15,14,18,8,1,16,21,4,0,1,7,50,23,26,24,14,27,23,29,39,21,15,12,18,11,13,21,12,0,19,20,9,9,39,0,0,0
2012-05-01,21,14,0,23,37,23,6,46,11,7,1,0,12,16,20,16,20,9,19,20,18,11,22,25,2,24,11,28,16,9,29,30,5,9,26,11,35,30,23,14,20,17,11,27,0,14,21,12,13,36,11,5,13,29,24,15,3,19,10,31,9,30,58,20,1,2,14,20,19,8,13,6,45,6,0,21,15,12,9,20,18,15,11,22,32,55,40,1,40,16,29,11,31,10,0,24,0,25,18,13,17,0,1,13,19,22,14,12,23,1,62,28,25,11,25,8,14,14,14,21,18,17,23,11,13,7,13,12,25,7,1,24,18,6,0,1,7,41,18,24,44,13,24,24,29,44,19,13,18,16,14,8,30,9,0,26,16,4,2,37,0,0,0
2012-06-01,37,13,3,16,35,28,6,46,14,13,0,0,21,24,14,21,18,11,25,26,18,7,26,31,1,19,10,34,14,18,29,30,4,9,20,12,23,32,23,11,21,16,8,26,3,9,18,17,7,35,23,4,6,27,19,14,7,17,10,38,15,20,36,27,0,2,13,13,15,13,9,9,37,12,0,22,23,13,19,21,15,20,10,23,26,41,29,1,42,18,21,12,18,17,0,13,1,14,10,18,16,0,1,12,18,21,10,11,26,0,58,20,16,10,26,11,12,22,11,18,15,21,25,7,12,8,17,9,34,13,0,17,14,8,0,0,8,35,20,25,28,14,29,16,30,45,18,17,20,12,12,9,15,9,0,21,10,7,9,26,0,0,0
2012-07-01,30,9,0,23,47,21,9,52,28,12,1,0,15,17,17,21,24,17,16,14,28,4,23,32,3,19,11,25,16,14,32,22,8,11,18,14,42,26,26,16,16,18,15,34,3,17,20,12,14,49,18,10,8,33,24,7,8,9,13,31,11,21,55,27,0,0,16,25,23,16,10,13,34,13,0,25,16,15,12,18,12,10,7,30,37,55,28,0,48,15,27,18,18,15,0,17,1,21,18,16,15,0,0,13,12,26,12,6,26,2,47,25,28,16,30,10,17,24,17,26,17,25,30,15,17,7,14,7,19,13,1,10,19,7,0,0,9,38,19,23,45,19,29,21,17,46,19,14,13,20,18,13,32,9,0,21,12,10,9,39,0,0,0
2012-08-01,31,12,1,18,34,19,16,48,21,10,2,0,19,27,22,27,19,9,20,20,33,8,17,29,0,18,19,31,7,12,40,31,8,10,15,16,40,32,25,14,16,16,6,30,0,20,18,15,16,43,16,11,6,36,29,15,3,9,16,50,13,26,50,24,1,1,18,16,26,18,22,7,35,15,0,17,24,14,13,23,15,20,15,30,35,53,35,0,42,17,24,19,28,12,0,22,1,20,13,21,18,0,0,11,16,15,23,5,23,2,46,20,26,14,40,6,12,14,30,24,14,21,22,9,14,6,23,13,31,10,3,13,24,4,1,1,7,49,22,21,36,13,13,18,27,51,27,21,13,19,18,17,29,10,0,13,16,7,6,37,0,0,0
2012-09-01,25,11,1,20,33,29,19,49,15,6,3,1,20,16,31,17,23,14,23,19,21,6,22,19,3,14,22,35,17,13,36,13,8,10,22,16,42,31,20,10,14,15,3,30,1,9,13,16,11,50,15,7,8,33,22,19,8,9,9,39,10,21,41,26,1,1,18,22,16,16,12,10,22,9,0,19,16,21,15,22,23,16,6,15,18,50,31,1,43,16,26,18,18,8,0,26,1,14,16,17,20,0,0,16,11,21,13,8,27,1,46,9,25,23,33,8,4,17,12,23,24,15,31,12,20,4,22,14,35,15,0,22,24,6,0,1,7,41,19,21,35,18,21,19,22,48,11,19,13,19,15,14,22,3,0,31,12,9,3,32,0,0,0
2012-10-01,33,11,1,14,33,27,7,48,11,20,2,2,12,26,18,18,12,10,21,22,20,8,25,24,0,11,18,23,8,16,35,32,7,12,20,9,44,23,15,16,19,16,12,19,1,10,18,15,5,30,16,4,12,25,28,15,10,10,11,48,12,26,39,28,1,1,16,19,11,10,13,13,40,12,0,22,22,23,10,25,23,16,4,24,23,50,28,1,35,14,24,14,23,5,0,16,1,18,14,13,20,0,1,16,18,23,14,8,15,0,41,15,18,14,33,6,11,17,17,29,19,19,16,11,20,6,30,16,25,10,0,24,25,14,0,1,11,24,31,31,31,14,28,14,29,49,15,17,22,13,19,9,35,10,0,18,12,6,6,41,0,0,0
2012-11-01,31,5,4,15,28,20,8,57,20,11,3,0,24,19,23,25,14,11,14,16,32,2,25,28,0,12,16,38,14,20,24,29,7,13,21,11,27,26,15,18,21,9,5,26,4,12,18,9,7,44,16,7,10,39,26,12,7,7,12,32,12,15,49,15,2,2,13,15,19,12,13,14,25,15,0,26,10,18,10,16,12,7,8,18,22,42,33,1,46,9,15,6,21,17,0,21,3,17,20,34,22,0,0,16,18,18,13,10,13,1,36,28,21,8,40,6,10,24,23,20,15,17,24,17,22,1,20,7,31,14,1,15,33,5,0,2,10,29,24,19,39,19,16,27,21,31,16,18,19,18,7,9,23,7,0,25,5,7,5,25,0,0,0
2012-12-01,24,14,2,13,33,17,11,46,14,12,1,0,16,22,13,26,11,8,11,22,17,5,18,21,1,15,18,23,11,20,34,20,5,8,20,4,30,21,17,11,9,10,8,28,1,15,17,16,10,37,18,10,16,23,16,21,9,9,11,32,8,24,43,22,0,3,19,12,17,14,12,8,25,14,0,6,16,14,17,16,11,14,3,17,30,68,42,0,33,16,24,9,18,10,0,17,0,16,19,15,19,0,0,8,12,18,15,3,25,1,42,26,14,11,27,8,11,14,11,35,22,18,29,17,11,4,14,8,25,12,0,11,15,5,2,1,9,35,20,28,31,10,23,21,22,40,13,16,23,14,14,13,23,8,0,15,9,4,11,22,0,0,0
2013-01-01,34,11,4,11,29,22,17,61,10,8,4,0,13,17,19,7,9,5,20,21,20,7,30,25,1,18,16,25,11,7,20,24,16,10,15,6,34,25,19,20,16,11,9,15,2,14,20,17,4,38,22,2,4,23,28,11,7,11,12,35,9,26,47,18,1,2,18,14,17,17,6,5,24,11,0,24,20,12,10,15,14,14,12,21,34,61,28,3,23,13,35,12,23,11,0,23,1,18,16,10,19,0,0,13,15,14,16,2,18,1,49,15,20,13,34,7,14,21,12,20,20,12,18,12,14,3,18,16,27,5,0,15,13,5,0,0,11,32,25,25,32,11,17,17,32,49,10,17,8,12,13,16,14,7,0,15,11,2,4,32,0,0,0
2013-02-01,21,7,1,20,35,22,13,46,3,9,5,1,21,14,15,13,13,13,19,27,21,9,21,23,1,15,8,29,9,15,29,18,7,9,14,18,33,20,22,15,10,7,11,21,1,14,13,19,7,49,11,6,7,29,19,2,3,9,10,34,10,13,38,22,1,1,19,25,14,14,7,4,28,10,0,26,13,10,13,19,5,7,7,28,34,52,22,0,36,8,13,10,23,14,0,18,0,18,18,16,17,0,0,6,20,15,16,4,24,1,39,22,11,11,27,5,10,18,19,25,11,11,17,7,11,3,18,10,29,15,0,15,21,12,0,3,5,28,30,23,34,12,19,19,19,43,11,11,11,12,9,16,12,7,0,25,7,6,6,30,0,0,0
2013-03-01,31,3,0,19,33,16,10,52,16,7,1,1,19,21,20,20,18,10,24,14,32,6,26,16,3,21,13,31,10,19,42,18,7,10,17,8,42,26,20,16,11,9,5,25,1,15,11,16,8,49,19,3,8,38,21,12,8,10,13,24,23,20,44,27,0,0,15,13,21,10,10,10,15,17,0,25,19,22,16,13,23,15,5,29,18,39,30,0,38,17,22,10,20,5,0,19,3,12,18,18,21,0,0,9,11,18,16,10,28,0,48,17,19,12,26,7,12,18,16,23,19,14,20,15,13,10,23,12,38,9,0,17,13,6,0,1,6,27,22,21,33,23,22,26,22,39,16,14,14,14,12,11,21,8,0,16,14,10,6,46,0,0,0
2013-04-01,26,9,2,20,35,27,6,59,26,8,3,0,11,26,28,33,14,5,20,27,26,9,26,24,1,16,15,25,16,15,24,23,3,11,22,9,34,24,24,20,11,10,7,25,0,8,13,17,3,42,9,9,13,34,31,6,12,10,15,30,9,32,54,23,0,0,22,11,18,13,9,4,26,11,0,20,16,12,11,13,23,11,5,25,28,57,35,1,37,15,31,7,16,14,0,16,0,17,17,10,26,0,0,12,16,18,12,2,29,0,50,22,20,9,23,8,8,13,13,26,16,16,25,8,14,7,25,8,32,5,0,18,14,5,0,0,11,36,26,32,34,11,22,14,20,49,14,13,12,7,11,14,25,7,26,24,11,9,6,28,0,0,0
